charger_id,station_name,address,city,state,latitude,longitude,x_projected,y_projected,level,plug_power_kw,plug_count,ev_network,connector_types,facility_type
dcfc_DC_0005,Bozzuto - Tesla Supercharger,130 M Street NE,Washington,DC,38.90605,-77.00506,399560.8461,137576.8934,DCFC_TESLA,150,8,Tesla,TESLA,PARKING_GARAGE
l2_DC_0142,1625 NE CONDOS STATION 4,1625 Eckington Pl NE,Washington,DC,38.911779,-77.003839,399666.7795,138212.8534,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0143,UDR THE MO #1,440 Penn St NE,Washington,DC,38.910556,-76.996935,400265.5634,138077.0871,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0144,UDR THE MO #4,440 Penn St NE,Washington,DC,38.910557,-76.996913,400267.4715,138077.1982,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0145,UDR THE MO #5,440 Penn St NE,Washington,DC,38.910575,-76.996937,400265.3899,138079.1963,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0146,UDR THE MO #3,500 Penn St NE,Washington,DC,38.910613,-76.996932,400265.8234,138083.4146,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0147,UDR THE MO #6,440 Penn St NE,Washington,DC,38.91055,-76.996922,400266.691,138076.4211,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0148,UDR THE MO #7,440 Penn St NE,Washington,DC,38.910563,-76.996921,400266.7777,138077.8642,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0149,1201 CHARGER 1201 I ST,1201 I St NW,Washington,DC,38.901662,-77.028211,397552.6618,137090.1576,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0150,THE ALECK STATION 1,1400 L St NW,Washington,DC,38.903557,-77.032251,397202.3003,137300.6339,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0151,1615 M Street,"1725 DeSales Street, NW, Suite 200",Washington,DC,38.904969,-77.039742,396552.6044,137457.6337,L2,7.2,2,Blink Network,J1772,
l2_DC_0152,Coda at Bryant St,600 Rhode Island Ave NE,Washington,DC,38.920692,-76.9985119,400128.7821,139202.2633,L2,7.2,2,Blink Network,J1772,
l2_DC_0153,The Chase on Bryant St,670 Rhode Island Ave NE,Washington,DC,38.9220634,-76.9965695,400297.219,139354.5042,L2,7.2,2,Blink Network,J1772,
l2_DC_0154,"Bryant Venture Phase 1-A&C,LLC",Master Association 680 Rhode Island Ave NE,Washington,DC,38.921913,-76.9968757,400270.6668,139337.8077,L2,7.2,2,Blink Network,J1772,
l2_DC_0155,JBG - LEnfant Plaza - Washington DC,480 L'Enfant Plaza Southwest,Washington,DC,38.883525,-77.025527,397784.909,135076.7417,L2,7.2,2,Blink Network,J1772,
